discipline_title,slug_game,event_title,event_gender,medal_type,participant_type,athlete_full_name,country_name,country_code,country_3_letter_code
Boxing,tokyo-2020,Women's Fly (48-51kg),Women,BRONZE,Athlete,Hsiao-Wen HUANG,Chinese Taipei,TW,TPE
Boxing,tokyo-2020,Women's Fly (48-51kg),Women,GOLD,Athlete,Stoyka Zhelyazkova KRASTEVA,Bulgaria,BG,BUL
Boxing,tokyo-2020,Women's Fly (48-51kg),Women,SILVER,Athlete,Buse Naz CAKIROGLU,Turkey,TR,TUR
Boxing,tokyo-2020,Women's Fly (48-51kg),Women,BRONZE,Athlete,Tsukimi NAMIKI,Japan,JP,JPN
Boxing,tokyo-2020,Men's Fly (48-52kg),Men,SILVER,Athlete,Carlo PAALAM,Philippines,PH,PHI
Boxing,tokyo-2020,Men's Fly (48-52kg),Men,BRONZE,Athlete,Ryomei TANAKA,Japan,JP,JPN
Boxing,tokyo-2020,Men's Fly (48-52kg),Men,BRONZE,Athlete,Saken BIBOSSINOV,Kazakhstan,KZ,KAZ
Boxing,tokyo-2020,Men's Fly (48-52kg),Men,GOLD,Athlete,Galal YAFAI,Great Britain,GB,GBR
Boxing,tokyo-2020,Women's Feather (54-57kg),Women,BRONZE,Athlete,Irma TESTA,Italy,IT,ITA
Boxing,tokyo-2020,Women's Feather (54-57kg),Women,GOLD,Athlete,Sena IRIE,Japan,JP,JPN
Boxing,tokyo-2020,Women's Feather (54-57kg),Women,SILVER,Athlete,Nesthy PETECIO,Philippines,PH,PHI
Boxing,tokyo-2020,Women's Feather (54-57kg),Women,BRONZE,Athlete,Karriss ARTINGSTALL,Great Britain,GB,GBR
Boxing,tokyo-2020,Men's Light (57-63kg),Men,SILVER,Athlete,Keyshawn DAVIS,United States of America,US,USA
Boxing,tokyo-2020,Men's Light (57-63kg),Men,BRONZE,Athlete,Harrison GARSIDE,Australia,AU,AUS
Boxing,tokyo-2020,Men's Light (57-63kg),Men,BRONZE,Athlete,Hovhannes BACHKOV,Armenia,AM,ARM
Boxing,tokyo-2020,Men's Light (57-63kg),Men,GOLD,Athlete,Andy CRUZ,Cuba,CU,CUB
Artistic Swimming,tokyo-2020,Duet,Women,GOLD,GameTeam,Svetlana KOLESNICHENKO,ROC,ROC,ROC
Artistic Swimming,tokyo-2020,Duet,Women,GOLD,GameTeam,Svetlana ROMASHINA,ROC,ROC,ROC
Artistic Swimming,tokyo-2020,Duet,Women,SILVER,GameTeam,Xuechen HUANG,People's Republic of China,CN,CHN
Artistic Swimming,tokyo-2020,Duet,Women,SILVER,GameTeam,Wenyan SUN,People's Republic of China,CN,CHN
Artistic Swimming,tokyo-2020,Duet,Women,BRONZE,GameTeam,Marta FIEDINA,Ukraine,UA,UKR
