athlete_full_name,games_participations,first_game,athlete_year_birth
Na-Yoon LEE,1,Beijing 2022,2003
Zoe KALAPOS,1,Beijing 2022,1997
Brooke DHONDT,1,Beijing 2022,2005
Jenise SPITERI,1,Beijing 2022,1992
Francesca GALLINA,1,Beijing 2022,1996
Josie BAFF,1,Beijing 2022,2003
Sofia BELINGHERI,1,Beijing 2022,1995
Yuka NAKAMURA,1,Beijing 2022,2001
Sophie HEDIGER,1,Beijing 2022,1998
He FENG,1,Beijing 2022,2004
Sina SIEGENTHALER,1,Beijing 2022,2000
Stacy GASKILL,1,Beijing 2022,2000
Alexia QUEYREL,1,Beijing 2022,1999
Audrey MCMANIMAN,1,Beijing 2022,1995
Pia ZERKHOLD,1,Beijing 2022,1998
Mariia VASILTCOVA,1,Beijing 2022,1995
Manon PETIT LENOIR,1,Beijing 2022,1998
Maeva ESTEVEZ,1,Beijing 2022,1995
Ekaterina LOKTEVA-ZAGORSKAIA,1,Beijing 2022,2002
Caterina CARPANO,1,Beijing 2022,1998
Aleksandra PARSHINA,1,Beijing 2022,1995
Dmitriy KARLAGACHEV,1,Beijing 2022,1998
Elias HUBER,1,Beijing 2022,1999
Sebastien BEAULIEU,1,Beijing 2022,1991
Gian CASANOVA,1,Beijing 2022,2000
Cody WINTERS,1,Beijing 2022,2000
Jules LEFEBVRE,1,Beijing 2022,1996
Daniele BAGOZZA,1,Beijing 2022,1995
Ye BI,1,Beijing 2022,1994
Yannik ANGENEND,1,Beijing 2022,2000
Arnaud GAUDET,1,Beijing 2022,2000
Robert BURNS,1,Beijing 2022,1990
Michal NOWACZYK,1,Beijing 2022,1996
Evy POPPE,1,Beijing 2022,2004
Kokomo MURASE,1,Beijing 2022,2004
Katie ORMEROD,1,Beijing 2022,1997
Ekaterina KOSOVA,1,Beijing 2022,1996
Urska PRIBOSIC,1,Beijing 2022,1990
Jasmine BAIRD,1,Beijing 2022,1999
Tess COADY,1,Beijing 2022,2000
Hanne EILERTSEN,1,Beijing 2022,1999
Carola NIEMELAE,1,Beijing 2022,1999
Melissa PEPERKAMP,1,Beijing 2022,2004
Annika MORGAN,1,Beijing 2022,2002
Ariane BURRI,1,Beijing 2022,2000
Courtney RUMMEL,1,Beijing 2022,2003
Bianca GISLER,1,Beijing 2022,2003
Lea JUGOVAC,1,Beijing 2022,1994
Ge RONG,1,Beijing 2022,2002
Adam DICKSON,1,Beijing 2022,1995
Huw NIGHTINGALE,1,Beijing 2022,2001
Glenn BLOIS DE,1,Beijing 2022,1995
Jake VEDDER,1,Beijing 2022,1998
Jakob DUSEK,1,Beijing 2022,1996
Radek HOUSER,1,Beijing 2022,1996
Filippo FERRARI,1,Beijing 2022,1999
Umito KIRCHWEHM,1,Beijing 2022,2000
Yoshiki TAKAHARA,1,Beijing 2022,1998
Julian LUEFTNER,1,Beijing 2022,1993
Liam MOFFATT,1,Beijing 2022,1997
Leo LE BLE JAQUES,1,Beijing 2022,1997
Daniil DONSKIKH,1,Beijing 2022,2001
Leon VOCKENSPERGER,1,Beijing 2022,1999
Kaito HAMADA,1,Beijing 2022,1999
Tiarn COLLINS,1,Beijing 2022,1999
Sean FITZSIMONS,1,Beijing 2022,2000
Niek VELDEN VAN DER,1,Beijing 2022,2000
Matthew COX,1,Beijing 2022,1998
Takeru OTSUKA,1,Beijing 2022,2001
Ruki TOBITA,1,Beijing 2022,1999
Emiliano LAUZI,1,Beijing 2022,1994
Yiming SU,1,Beijing 2022,2004
Darcy SHARPE,1,Beijing 2022,1996
Dusty HENRICKSEN,1,Beijing 2022,2003
Noah VICKTOR,1,Beijing 2022,2001
Louis Philip VITO III,1,Beijing 2022,1988
Liam GILL,1,Beijing 2022,2003
Liam TOURKI,1,Beijing 2022,1999
Lucas FOSTER,1,Beijing 2022,1999
