athlete_full_name,athlete_year_birth
"riikka honkanen",1998
"max moffatt",1998
"ali nullmeyer",1998
"tereza beranova",1998
"yuliia krol",1998
"sin-rong lin",1998
"henri roos",1998
"albert kuchler",1998
"graham ritchie",1998
"fanqi meng",1998
"elliott baralo",1998
"chika kobayashi",1998
"reece howden",1998
"maria zdravkova",1998
"hailey swirbul",1998
"michael lejsek",1998
"haotian wang",1998
"laura wallner",1998
"ziwen lian",1998
"ellia smeding",1998
"leonie gerken schofield",1998
"mihaela hogas",1998
"nadezhda morozova",1998
"svante kohala",1998
"jutta leerdam",1998
"bjoern magnussen",1998
"jakub stvrtecky",1998
"ryota kojima",1998
"pavel dik",1998
"justin schoenefeld",1998
"oleksandr okipniuk",1998
"yauheniya varabyova",1998
"christopher lillis",1998
"said karimulla khalili",1998
"winter vinecki",1998
"gabi ash",1998
"sanne in 't hof",1998
"artur janicki",1998
"elisa maria nakab",1998
"brooklyn mcdougall",1998
"mateusz haratyk",1998
"alyson charles",1998
"gwendoline daudet",1998
"valentina ascic",1998
"michaela hruzova",1998
"jeffrey rosanelli",1998
"lukas britschgi",1998
"jan vytrval",1998
"stijn desmet",1998
"linas banys",1998
"jordan pierre-gilles",1998
"louis muhlen-schulte",1998
"adil galiakhmetov",1998
"melanie hasler",1998
"alexander schlintner",1998
"laura nolte",1998
"shaotong wu",1998
"hugo lapalus",1998
"sophie hediger",1998
"pia zerkhold",1998
"zuzanna czapska",1998
"manon petit lenoir",1998
"caterina carpano",1998
"alexandr mukhin",1998
"dmitriy karlagachev",1998
"seve de campo",1998
"antoine cyr",1998
"jake vedder",1998
"yoshiki takahara",1998
"minwoo kim",1998
"matthew cox",1998
"polina smolentsova",1998
"marius lindvik",1998
"yuxi li",1998
"remi lindholm",1998
"jan hoerl",1998
"patrick gasienica",1998
"sophie sorschag",1998
"chunyu zhang",1998
"pauline hessler",1998
"anna odine stroem",1998
"sebastian stalder",1998
"janghyuk park",1998
"yohei koyama",1998
"samuela comola",1998
"hannah halvorsen",1998
"amelia smart",1998
"tuomas harjula",1998
"barnabas szollos",1998
"ping-jui ho",1998
"lena quintin",1998
"aline danioth",1998
"kseniya shalygina",1998
"francesca baruzzi farriol",1998
"holmfridur dora fridgeirsdottir",1998
"tereza nova",1998
"elsa fermbaeck",1998
"kathryn parker",1998
"petra hromcova",1998
"river radamus",1998
"camille cerutti",1998
"mariel merlii pulles",1998
"dzmitry lazouski",1998
"cristina pittin",1998
"jade grillet aubert",1997
"antonia fraebel",1997
"brendan mackay",1997
"bogdan tsymbal",1997
"hugo burvall",1997
"javier lliso",1997
"colby stevenson",1997
"matej baloga",1997
"ollie davies",1997
"katerina janatova",1997
"andreja slokar",1997
"jared schmidt",1997
"katherine sauerbrey",1997
"armand marchant",1997
"anastasiia pervushina",1997
"fayik abdi",1997
"veronika machyniakova",1997
"courtney hoffos",1997
"coletta rydzek",1997
"polona klemencic",1997
"lucia dalmasso",1997
"elsa desmond",1997
"moa olsson",1997
"emily dickson",1997
"rachel karker",1997
"carly margulies",1997
"megan bankes",1997
"tomas birkner de miguel",1997
"nico gleirscher",1997
"brendan ronald corey",1997
"irina kazakevich",1997
"kota kikuchi",1997
"steven dubois",1997
"miha licef",1997
"raphael haaser",1997
"kristrun gudnadottir",1997
"mariya istomina",1997
"endija terauda",1997
"nadia delago",1997
"youngseo kang",1997
"nina o brien",1997
"matthew soukup",1997
"sebastian samuelsson",1997
"emma ribom",1997
"laura leclair",1997
"mikita labastau",1997
"danyal saveh shemshaki",1997
"andre hoeflich",1997
"julia kern",1997
"janosch brugger",1997
"jan pechousek",1997
"natalie maag",1997
"raul mihai popa",1997
"michael foettinger",1997
"lorenzo gennero",1997
"sturla holm laegreid",1997
"benjamin moser",1997
"leo le ble jaques",1997
"liam moffatt",1997
"duoyao fan",1997
"marcel bosker",1997
"marco odermatt",1997
"daria kachanova",1997
"luke winters",1997
"ida lien",1997
"vanessa voigt",1997
"katie ormerod",1997
"jonathan gustafson",1997
"zakhar kuchin",1997
"yianno kouyoumdjian",1997
"wengang yan",1997
"karolina indrackova",1997
"graeme fish",1997
"mingfu xu",1997
"matt weston",1997
"zoe kalapos",1997
"kevin aymoz",1997
"olga tikhonova",1997
"isabella wright",1997
"laurent muhlethaler",1997
"michela carrara",1997
"daniil eibog",1997
"emilie aagheim kalkenberg",1997
"julia pleshkova",1997
"ryota yamamoto",1997
"denis airapetian",1997
"qing ying",1997
"anastasia rygalina",1996
"niklas bachsleitner",1996
"jose cabeca",1996
"masae tsuchiya",1996
"coralie bentz",1996
"julia taubitz",1996
"erik valnes",1996
"sophie ash",1996
"daniela maier",1996
"alexandra edebo",1996
"marcus grate",1996
"megan nick",1996
"james clugnet",1996
"hanne desmet",1996
"natalia ushkina",1996
"maxime laoun",1996
"sanja kusmuk",1996
"cene prevc",1996
"darcy sharpe",1996
"mariah bell",1996
"anze lanisek",1996
"ricardo brancal",1996
"alina meier",1996
"radek houser",1996
"jakob dusek",1996
"dmitriy morozov",1996
"kristian ulekleiv",1996
"adur etxezarreta",1996
"matthieu bailet",1996
"soso japharidze",1996
"jules burnotte",1996
"xingyuan yan",1996
"andzelika wojcik",1996
"maddison pearman",1996
"jasmi joensuu",1996
"jenny rautionaho",1996
"katharina althaus",1996
"regina oja",1996
"anton dudchenko",1996
"patrick jakob",1996
"viktor mushtakov",1996
"hanna sola",1996
"julia schwaiger",1996
"tatsuya shinhama",1996
"ekaterina kosova",1996
"angelina shuryga",1996
"joscha burkhalter",1996
"dzinara alimbekava",1996
"elizaveta golubeva",1996
"julia simon",1996
"michal nowaczyk",1996
"lotta udnes weng",1996
"billy major",1996
"filip sakala",1996
"jules lefebvre",1996
"bing dong",1996
"kitija auzina",1996
"milan zemlicka",1996
"naoki nakamura",1996
"tiril udnes weng",1996
"darya blashko",1996
"zheng yin",1996
"francesca gallina",1996
"tero seppala",1996
"enkhtuul ariunsanaa",1996
"arianna sighel",1996
"sohui gim",1996
"katharina truppe",1996
"jan koristek",1996
"naoto baba",1996
"halvor egner granerud",1996
"liene bondare",1996
"gabriele lescinskaite",1996
"tom lahaye-goffart",1996
"susan kuelm",1996
"eliska brezinova",1996
"jennifer hawkrigg",1996
"ivan yakimushkin",1996
"anita klemencic",1996
