athlete_full_name,COUNT(medal_type)
"nesthy petecio",1
"karriss artingstall",1
"keyshawn davis",1
"harrison garside",1
"hovhannes bachkov",1
"andy cruz",1
"svetlana kolesnichenko",1
"svetlana romashina",1
"xuechen huang",1
"wenyan sun",1
"marta fiedina",1
"anastasiya savchuk",1
"niek kimmann",1
"kye whyte",1
"carlos alberto ramirez yepes",1
"bethany shriever",1
"mariana pajã“n",1
"merel smulders",1
"georgia taylor-brown",1
"flora duffy",1
"katie zaferes",1
"alex yee",1
"hayden wilde",1
"kristian blummenfelt",1
"bianca buitendag",1
"carissa moore",1
"amuro tsuzuki",1
"italo ferreira",1
"owen wright",1
"kanoa igarashi",1
"zhendong fan",1
"dimitrij ovtcharov",1
"long ma",1
"jun mizutani",1
"xin xu",1
"shiwen liu",1
"yun ju lin",1
"i-ching cheng",1
"yingsha sun",1
"meng chen",1
"hannes aigner",1
"jiri prskavec",1
"jakub grigar",1
"andrea herzog",1
"mallory franklin",1
"ricarda funk",1
"maialen chourraut",1
"sideris tasiadis",1
"lukas rohan",1
"benjamin savsek",1
"sharon van rouwendaal",1
"ana marcela cunha",1
"kareena lee",1
"kristof rasovszky",1
"dong dong",1
"ivan litvinovich",1
"dylan schmidt",1
"bryony page",1
"xueying zhu",1
"lingling liu",1
"ulugbek rashitov",1
"bradly sinden",1
"hakan recber",1
"shuai zhao",1
"seif eissa",1
"maksim khramtcov",1
"saleh elsharabaty",1
"toni kanaet",1
"kyo don in",1
"vladislav larin",1
"dejan georgievski",1
"rafael castillo",1
"milica mandic",1
"dabin lee",1
"althea laurin",1
"bianca walkden",1
"matea jelic",1
"lauren williams",1
"hedaya wahba",1
"ruth marie christelle gbagbi",1
"chia-ling lo",1
"anastasija zolotic",1
"tatiana kudashova",1
"hatice kubra ilgun",1
"jun jang",1
"mohamed khalil jendoubi",1
"mikhail artamonov",1
"vito dell'aquila",1
"adriana cerezo iglesias",1
"panipak wongpattanakit",1
"tijana bogdanovic",1
"abishag semberg",1
"shanju bao",1
"tianshi zhong",1
"lea sophie friedrich",1
"emma hinze",1
"daria shmeleva",1
"anastasiia voinova",1
"lasse norman hansen",1
"michael morkov",1
"ethan hayter",1
"benjamin thomas",1
